COD;Valor Pedido;Cidade;Data da Venda;COD Cliente
AB1003;R$ 4,00;São Paulo;04/01/2017;753
AB1020;R$ 3,00;São Paulo;04/01/2017;608
AB1017;R$ 2,00;Campinas;04/01/2017;552
AB1010;R$ 2,00;Guarulhos;04/01/2017;610
AB1011;R$ 5,00;Curitiba;04/01/2017;758
AB1019;R$ 3,00;Campinas;04/01/2017;505
AB1004;R$ 3,00;Niterói;04/01/2017;381
AB1017;R$ 2,00;Guarulhos;04/01/2017;564
AB1005;R$ 3,00;Campinas;04/01/2017;431
AB1012;R$ 3,00;Guarulhos;04/01/2017;260
AB1004;R$ 4,00;Curitiba;04/01/2017;789
AB1010;R$ 1,00;Guarulhos;04/01/2017;561
AB1016;R$ 2,00;Curitiba;04/01/2017;741
AB1015;R$ 2,00;São Paulo;04/01/2017;446
AB1023;R$ 3,00;Niterói;04/01/2017;710
AB1015;R$ 4,00;Guarulhos;04/01/2017;74
AB1024;R$ 5,00;Guarulhos;05/01/2017;41
AB1012;R$ 4,00;Recife;05/01/2017;254
AB1015;R$ 2,00;Nova Iguaço;05/01/2017;649
AB1014;R$ 3,00;São Paulo;05/01/2017;382
AB1006;R$ 5,00;Porto Alegre;05/01/2017;624
AB1019;R$ 2,00;Nova Iguaço;05/01/2017;627
AB1011;R$ 3,00;São Paulo;05/01/2017;50
AB1007;R$ 2,00;Guarulhos;05/01/2017;101
AB1001;R$ 5,00;Rio de Janeiro;05/01/2017;259
AB1014;R$ 3,00;Curitiba;05/01/2017;240
AB1003;R$ 3,00;Nova Iguaço;05/01/2017;78
AB1015;R$ 3,00;São Paulo;05/01/2017;725
AB1007;R$ 5,00;Salvador;05/01/2017;245
AB1005;R$ 2,00;Fortaleza;05/01/2017;113
AB1005;R$ 3,00;Fortaleza;05/01/2017;471
AB1019;R$ 2,00;Curitiba;05/01/2017;789
AB1001;R$ 1,00;Rio de Janeiro;05/01/2017;405
AB1011;R$ 3,00;Salvador;05/01/2017;551
AB1023;R$ 4,00;Curitiba;05/01/2017;93
AB1012;R$ 5,00;Porto Alegre;05/01/2017;754
AB1002;R$ 1,00;São Paulo;05/01/2017;310
AB1002;R$ 4,00;Guarulhos;05/01/2017;122
AB1011;R$ 1,00;Niterói;05/01/2017;488
AB1011;R$ 1,00;Belo Horizonte;05/01/2017;190
AB1023;R$ 2,00;Niterói;05/01/2017;228
AB1006;R$ 5,00;Guarulhos;05/01/2017;403
AB1012;R$ 4,00;Goiânia;05/01/2017;762
AB1002;R$ 2,00;Fortaleza;05/01/2017;87
AB1016;R$ 2,00;Fortaleza;05/01/2017;687
AB1002;R$ 5,00;Curitiba;05/01/2017;442
AB1006;R$ 5,00;Campinas;05/01/2017;59
AB1022;R$ 3,00;Niterói;05/01/2017;464
AB1020;R$ 4,00;Nova Iguaço;05/01/2017;690
AB1003;R$ 4,00;Nova Iguaço;05/01/2017;452
AB1018;R$ 5,00;Nova Iguaço;05/01/2017;516
AB1017;R$ 4,00;São Paulo;05/01/2017;446
AB1004;R$ 2,00;Fortaleza;05/01/2017;279
AB1007;R$ 2,00;Rio de Janeiro;05/01/2017;326
AB1022;R$ 2,00;Recife;05/01/2017;322
AB1021;R$ 1,00;Guarulhos;05/01/2017;392
AB1009;R$ 5,00;Salvador;05/01/2017;264
AB1024;R$ 4,00;Rio de Janeiro;05/01/2017;537
AB1022;R$ 3,00;Goiânia;06/01/2017;88
AB1023;R$ 5,00;Belo Horizonte;06/01/2017;666
AB1009;R$ 3,00;Belo Horizonte;06/01/2017;23
AB1003;R$ 5,00;Porto Alegre;06/01/2017;795
AB1010;R$ 4,00;Curitiba;06/01/2017;478
AB1005;R$ 5,00;Recife;06/01/2017;555
AB1002;R$ 3,00;Niterói;06/01/2017;176
AB1006;R$ 3,00;Salvador;06/01/2017;551
AB1017;R$ 1,00;Recife;06/01/2017;513
AB1009;R$ 4,00;Guarulhos;06/01/2017;242
AB1015;R$ 2,00;Guarulhos;06/01/2017;337
AB1013;R$ 5,00;Salvador;06/01/2017;245
AB1012;R$ 5,00;Curitiba;06/01/2017;22
AB1024;R$ 5,00;Rio de Janeiro;06/01/2017;368
AB1020;R$ 2,00;Guarulhos;06/01/2017;153
AB1007;R$ 1,00;Niterói;06/01/2017;236
AB1002;R$ 3,00;São Paulo;06/01/2017;145
AB1017;R$ 4,00;Goiânia;06/01/2017;204
AB1021;R$ 3,00;Niterói;06/01/2017;632
AB1004;R$ 4,00;Rio de Janeiro;06/01/2017;499
AB1024;R$ 3,00;Porto Alegre;06/01/2017;416
AB1012;R$ 2,00;Salvador;06/01/2017;593
AB1016;R$ 1,00;Guarulhos;06/01/2017;62
AB1020;R$ 3,00;Salvador;06/01/2017;544
AB1009;R$ 2,00;Nova Iguaço;06/01/2017;591
AB1005;R$ 5,00;Nova Iguaço;06/01/2017;14
AB1003;R$ 1,00;Curitiba;06/01/2017;240
AB1020;R$ 2,00;Nova Iguaço;06/01/2017;574
AB1023;R$ 1,00;Guarulhos;06/01/2017;393
AB1016;R$ 1,00;Salvador;06/01/2017;252
AB1014;R$ 5,00;Guarulhos;06/01/2017;290
AB1002;R$ 5,00;São Paulo;06/01/2017;79
AB1023;R$ 5,00;Salvador;07/01/2017;100
AB1005;R$ 4,00;Belo Horizonte;07/01/2017;508
AB1004;R$ 3,00;Porto Alegre;07/01/2017;72
AB1023;R$ 4,00;Goiânia;07/01/2017;291
AB1012;R$ 4,00;Belo Horizonte;07/01/2017;783
AB1024;R$ 3,00;Guarulhos;07/01/2017;185
AB1015;R$ 2,00;Guarulhos;07/01/2017;98
AB1012;R$ 2,00;Nova Iguaço;07/01/2017;568
AB1017;R$ 2,00;Nova Iguaço;07/01/2017;543
AB1004;R$ 4,00;Guarulhos;07/01/2017;211
AB1002;R$ 3,00;Curitiba;07/01/2017;789
AB1006;R$ 3,00;São Paulo;07/01/2017;725
AB1005;R$ 4,00;Curitiba;07/01/2017;686
AB1009;R$ 1,00;Belo Horizonte;07/01/2017;508
AB1004;R$ 5,00;Salvador;07/01/2017;285
AB1010;R$ 3,00;Nova Iguaço;07/01/2017;278
AB1001;R$ 1,00;São Paulo;07/01/2017;382
AB1002;R$ 1,00;São Paulo;07/01/2017;235
AB1011;R$ 5,00;Curitiba;07/01/2017;619
AB1002;R$ 4,00;Recife;07/01/2017;106
AB1005;R$ 3,00;Porto Alegre;07/01/2017;760
AB1002;R$ 3,00;Campinas;07/01/2017;439
AB1024;R$ 4,00;São Paulo;07/01/2017;79
AB1010;R$ 2,00;Guarulhos;07/01/2017;184
AB1021;R$ 4,00;Belo Horizonte;07/01/2017;418
AB1024;R$ 1,00;Goiânia;07/01/2017;296
AB1006;R$ 1,00;Recife;07/01/2017;322
AB1006;R$ 4,00;Goiânia;07/01/2017;425
AB1020;R$ 1,00;Campinas;07/01/2017;2
AB1019;R$ 1,00;Porto Alegre;07/01/2017;143
AB1010;R$ 2,00;Nova Iguaço;07/01/2017;281
AB1010;R$ 4,00;Rio de Janeiro;07/01/2017;377
AB1014;R$ 1,00;Rio de Janeiro;07/01/2017;148
AB1011;R$ 1,00;Rio de Janeiro;08/01/2017;11
AB1010;R$ 4,00;Goiânia;08/01/2017;674
AB1019;R$ 1,00;Niterói;08/01/2017;236
AB1012;R$ 2,00;Belo Horizonte;08/01/2017;418
AB1007;R$ 1,00;Salvador;08/01/2017;437
AB1022;R$ 5,00;Fortaleza;08/01/2017;599
AB1004;R$ 5,00;Niterói;08/01/2017;688
AB1007;R$ 2,00;Goiânia;08/01/2017;225
AB1012;R$ 4,00;Fortaleza;08/01/2017;468
AB1003;R$ 2,00;Nova Iguaço;08/01/2017;24
AB1021;R$ 4,00;Niterói;08/01/2017;473
AB1007;R$ 2,00;Recife;08/01/2017;27
AB1014;R$ 2,00;São Paulo;08/01/2017;104
AB1021;R$ 4,00;Fortaleza;08/01/2017;157
AB1023;R$ 5,00;Guarulhos;08/01/2017;206
AB1003;R$ 1,00;Belo Horizonte;08/01/2017;542
AB1008;R$ 5,00;Curitiba;08/01/2017;803
AB1016;R$ 1,00;Goiânia;08/01/2017;147
AB1015;R$ 1,00;Belo Horizonte;08/01/2017;742
AB1024;R$ 1,00;Guarulhos;08/01/2017;337
AB1010;R$ 3,00;Porto Alegre;08/01/2017;592
AB1021;R$ 5,00;Goiânia;08/01/2017;8
AB1001;R$ 2,00;Campinas;08/01/2017;431
AB1005;R$ 1,00;Belo Horizonte;08/01/2017;497
AB1002;R$ 1,00;Guarulhos;08/01/2017;399
AB1014;R$ 3,00;Salvador;08/01/2017;481
AB1014;R$ 1,00;Curitiba;08/01/2017;715
AB1017;R$ 1,00;Rio de Janeiro;08/01/2017;325
AB1003;R$ 2,00;Rio de Janeiro;08/01/2017;226
AB1002;R$ 1,00;Guarulhos;08/01/2017;372
AB1021;R$ 2,00;São Paulo;08/01/2017;105
AB1014;R$ 5,00;Curitiba;08/01/2017;239
AB1006;R$ 4,00;Goiânia;08/01/2017;435
AB1021;R$ 2,00;São Paulo;08/01/2017;424
AB1001;R$ 5,00;Nova Iguaço;08/01/2017;516
AB1001;R$ 3,00;Belo Horizonte;08/01/2017;421
AB1012;R$ 2,00;Curitiba;08/01/2017;66
AB1021;R$ 2,00;Campinas;08/01/2017;59
AB1023;R$ 5,00;Belo Horizonte;08/01/2017;666
AB1017;R$ 3,00;Nova Iguaço;08/01/2017;791
AB1006;R$ 5,00;Porto Alegre;08/01/2017;371
AB1012;R$ 1,00;Rio de Janeiro;08/01/2017;573
AB1015;R$ 4,00;Porto Alegre;08/01/2017;371
AB1011;R$ 5,00;Niterói;08/01/2017;710
AB1024;R$ 3,00;Guarulhos;08/01/2017;348
AB1002;R$ 2,00;Nova Iguaço;08/01/2017;575
AB1005;R$ 1,00;Fortaleza;08/01/2017;480
AB1020;R$ 5,00;Rio de Janeiro;09/01/2017;405
AB1007;R$ 4,00;Rio de Janeiro;09/01/2017;28
AB1018;R$ 4,00;Niterói;09/01/2017;710
AB1004;R$ 3,00;Fortaleza;09/01/2017;802
AB1015;R$ 5,00;Porto Alegre;09/01/2017;143
AB1008;R$ 3,00;Porto Alegre;09/01/2017;588
AB1021;R$ 1,00;Salvador;09/01/2017;100
AB1021;R$ 4,00;Porto Alegre;09/01/2017;200
AB1024;R$ 1,00;Guarulhos;09/01/2017;256
AB1012;R$ 4,00;Guarulhos;09/01/2017;256
AB1004;R$ 2,00;Curitiba;09/01/2017;419
AB1008;R$ 5,00;Guarulhos;09/01/2017;311
AB1024;R$ 4,00;Campinas;09/01/2017;199
AB1013;R$ 5,00;Nova Iguaço;09/01/2017;420
AB1010;R$ 1,00;Fortaleza;09/01/2017;171
AB1014;R$ 4,00;Niterói;09/01/2017;671
AB1020;R$ 5,00;São Paulo;09/01/2017;540
AB1013;R$ 5,00;Guarulhos;09/01/2017;175
AB1015;R$ 4,00;Niterói;09/01/2017;648
AB1018;R$ 1,00;Curitiba;09/01/2017;60
AB1024;R$ 1,00;Nova Iguaço;09/01/2017;420
AB1017;R$ 3,00;Fortaleza;09/01/2017;687
AB1017;R$ 4,00;Recife;09/01/2017;376
AB1020;R$ 2,00;Fortaleza;09/01/2017;279
AB1004;R$ 2,00;Porto Alegre;09/01/2017;353
AB1013;R$ 3,00;Curitiba;09/01/2017;493
AB1021;R$ 3,00;Rio de Janeiro;09/01/2017;377
AB1004;R$ 1,00;Curitiba;09/01/2017;61
AB1017;R$ 1,00;Rio de Janeiro;09/01/2017;28
AB1006;R$ 2,00;Porto Alegre;09/01/2017;794
AB1008;R$ 3,00;São Paulo;09/01/2017;303
AB1020;R$ 3,00;Recife;09/01/2017;322
AB1024;R$ 4,00;Nova Iguaço;09/01/2017;579
AB1009;R$ 1,00;Porto Alegre;09/01/2017;115
AB1019;R$ 2,00;Curitiba;09/01/2017;22
AB1023;R$ 2,00;Recife;09/01/2017;676
AB1013;R$ 3,00;Recife;09/01/2017;234
AB1019;R$ 1,00;Curitiba;09/01/2017;758
AB1021;R$ 3,00;Guarulhos;10/01/2017;341
AB1008;R$ 2,00;Curitiba;10/01/2017;720
AB1021;R$ 2,00;Nova Iguaço;10/01/2017;649
AB1003;R$ 2,00;Niterói;10/01/2017;276
AB1004;R$ 2,00;Belo Horizonte;10/01/2017;313
AB1006;R$ 3,00;São Paulo;10/01/2017;145
AB1020;R$ 4,00;Campinas;10/01/2017;670
AB1014;R$ 3,00;Niterói;10/01/2017;648
AB1023;R$ 3,00;Belo Horizonte;10/01/2017;397
AB1016;R$ 1,00;Guarulhos;10/01/2017;62
AB1003;R$ 4,00;Belo Horizonte;10/01/2017;456
AB1017;R$ 1,00;Guarulhos;10/01/2017;334
AB1020;R$ 4,00;Guarulhos;10/01/2017;270
AB1011;R$ 2,00;Rio de Janeiro;10/01/2017;694
AB1004;R$ 5,00;Belo Horizonte;10/01/2017;660
AB1011;R$ 3,00;Recife;10/01/2017;321
AB1006;R$ 4,00;Porto Alegre;10/01/2017;375
AB1024;R$ 1,00;Campinas;10/01/2017;485
AB1006;R$ 5,00;Recife;10/01/2017;513
AB1017;R$ 4,00;Guarulhos;10/01/2017;364
AB1019;R$ 1,00;Guarulhos;10/01/2017;119
AB1002;R$ 5,00;Fortaleza;10/01/2017;468
AB1012;R$ 1,00;Porto Alegre;10/01/2017;642
AB1006;R$ 1,00;Belo Horizonte;10/01/2017;483
AB1004;R$ 4,00;Guarulhos;10/01/2017;167
AB1009;R$ 1,00;Salvador;10/01/2017;482
AB1019;R$ 3,00;Curitiba;10/01/2017;343
AB1018;R$ 3,00;Porto Alegre;10/01/2017;353
AB1010;R$ 4,00;São Paulo;10/01/2017;79
AB1012;R$ 3,00;Fortaleza;10/01/2017;471
AB1011;R$ 4,00;Rio de Janeiro;10/01/2017;405
AB1018;R$ 3,00;Niterói;10/01/2017;30
AB1003;R$ 2,00;Niterói;10/01/2017;434
AB1024;R$ 3,00;Rio de Janeiro;11/01/2017;744
AB1006;R$ 4,00;Salvador;11/01/2017;559
AB1012;R$ 3,00;Fortaleza;11/01/2017;354
AB1014;R$ 3,00;São Paulo;11/01/2017;261
AB1007;R$ 3,00;Guarulhos;11/01/2017;212
AB1001;R$ 4,00;Porto Alegre;11/01/2017;218
AB1020;R$ 1,00;Curitiba;11/01/2017;774
AB1015;R$ 4,00;Niterói;11/01/2017;514
AB1011;R$ 4,00;São Paulo;11/01/2017;406
AB1004;R$ 3,00;Belo Horizonte;11/01/2017;506
AB1013;R$ 4,00;Niterói;11/01/2017;654
AB1006;R$ 3,00;Nova Iguaço;11/01/2017;472
AB1018;R$ 5,00;Goiânia;11/01/2017;605
AB1020;R$ 3,00;Curitiba;11/01/2017;812
AB1020;R$ 2,00;Curitiba;11/01/2017;535
AB1006;R$ 4,00;Guarulhos;11/01/2017;577
AB1003;R$ 2,00;São Paulo;11/01/2017;69
AB1014;R$ 1,00;Recife;11/01/2017;244
AB1021;R$ 2,00;Salvador;11/01/2017;646
AB1016;R$ 1,00;Nova Iguaço;11/01/2017;681
AB1003;R$ 2,00;Niterói;11/01/2017;131
AB1019;R$ 5,00;Curitiba;11/01/2017;217
AB1024;R$ 2,00;Fortaleza;11/01/2017;468
AB1021;R$ 3,00;Campinas;11/01/2017;395
AB1017;R$ 1,00;Guarulhos;11/01/2017;47
AB1015;R$ 1,00;Rio de Janeiro;11/01/2017;817
AB1023;R$ 2,00;Curitiba;11/01/2017;743
AB1020;R$ 3,00;Recife;11/01/2017;81
AB1023;R$ 1,00;Campinas;11/01/2017;510
AB1012;R$ 5,00;Curitiba;11/01/2017;240
AB1005;R$ 4,00;Porto Alegre;11/01/2017;588
AB1001;R$ 4,00;Fortaleza;11/01/2017;163
AB1005;R$ 3,00;Nova Iguaço;11/01/2017;647
AB1020;R$ 1,00;Recife;12/01/2017;616
AB1011;R$ 5,00;Recife;12/01/2017;117
AB1003;R$ 1,00;Niterói;12/01/2017;807
AB1004;R$ 1,00;Guarulhos;12/01/2017;48
AB1022;R$ 1,00;Porto Alegre;12/01/2017;132
AB1024;R$ 2,00;Recife;12/01/2017;566
AB1019;R$ 4,00;Campinas;12/01/2017;332
AB1018;R$ 1,00;Guarulhos;12/01/2017;56
AB1022;R$ 4,00;São Paulo;12/01/2017;314
AB1007;R$ 4,00;Guarulhos;12/01/2017;369
AB1003;R$ 5,00;Rio de Janeiro;12/01/2017;405
AB1017;R$ 5,00;Fortaleza;12/01/2017;796
AB1024;R$ 4,00;Rio de Janeiro;12/01/2017;213
AB1002;R$ 3,00;Goiânia;12/01/2017;274
AB1002;R$ 5,00;Recife;12/01/2017;297
AB1006;R$ 5,00;Niterói;12/01/2017;71
AB1015;R$ 3,00;Fortaleza;12/01/2017;580
AB1012;R$ 5,00;Curitiba;12/01/2017;789
AB1007;R$ 5,00;Curitiba;12/01/2017;758
AB1021;R$ 2,00;Recife;12/01/2017;244
AB1023;R$ 5,00;Fortaleza;12/01/2017;557
AB1018;R$ 2,00;Campinas;12/01/2017;485
AB1023;R$ 1,00;Belo Horizonte;12/01/2017;520
AB1002;R$ 3,00;Porto Alegre;12/01/2017;200
AB1010;R$ 3,00;Nova Iguaço;12/01/2017;477
AB1014;R$ 1,00;São Paulo;12/01/2017;737
AB1011;R$ 4,00;Guarulhos;12/01/2017;306
AB1008;R$ 5,00;Campinas;12/01/2017;45
AB1022;R$ 4,00;Guarulhos;12/01/2017;337
AB1019;R$ 1,00;Niterói;13/01/2017;454
AB1021;R$ 1,00;Fortaleza;13/01/2017;255
AB1013;R$ 3,00;Curitiba;13/01/2017;493
AB1005;R$ 3,00;Porto Alegre;13/01/2017;328
AB1008;R$ 2,00;Curitiba;13/01/2017;812
AB1014;R$ 1,00;Curitiba;13/01/2017;720
AB1017;R$ 2,00;Goiânia;13/01/2017;562
AB1016;R$ 4,00;Curitiba;13/01/2017;63
AB1005;R$ 3,00;São Paulo;13/01/2017;446
AB1003;R$ 3,00;Rio de Janeiro;13/01/2017;99
AB1019;R$ 5,00;Campinas;13/01/2017;670
AB1004;R$ 2,00;Nova Iguaço;13/01/2017;806
AB1006;R$ 4,00;Belo Horizonte;13/01/2017;295
AB1001;R$ 4,00;Guarulhos;13/01/2017;290
AB1022;R$ 2,00;Belo Horizonte;13/01/2017;359
AB1017;R$ 1,00;Recife;13/01/2017;106
AB1015;R$ 4,00;Rio de Janeiro;13/01/2017;531
AB1017;R$ 4,00;Belo Horizonte;13/01/2017;190
AB1003;R$ 3,00;Guarulhos;13/01/2017;392
AB1024;R$ 1,00;Salvador;13/01/2017;15
AB1015;R$ 5,00;Fortaleza;13/01/2017;703
AB1007;R$ 2,00;Porto Alegre;13/01/2017;436
AB1004;R$ 1,00;Niterói;13/01/2017;708
AB1009;R$ 3,00;Belo Horizonte;13/01/2017;590
AB1024;R$ 1,00;Niterói;13/01/2017;807
AB1007;R$ 2,00;Nova Iguaço;13/01/2017;516
AB1012;R$ 5,00;Rio de Janeiro;13/01/2017;11
AB1007;R$ 5,00;Fortaleza;13/01/2017;687
AB1022;R$ 2,00;Belo Horizonte;13/01/2017;58
AB1014;R$ 4,00;Guarulhos;13/01/2017;567
AB1005;R$ 2,00;Porto Alegre;13/01/2017;428
AB1003;R$ 1,00;Nova Iguaço;13/01/2017;701
AB1004;R$ 5,00;São Paulo;13/01/2017;235
AB1018;R$ 5,00;Nova Iguaço;13/01/2017;689
AB1015;R$ 5,00;São Paulo;14/01/2017;140
AB1023;R$ 3,00;Guarulhos;14/01/2017;152
AB1011;R$ 4,00;Rio de Janeiro;14/01/2017;134
AB1015;R$ 5,00;Nova Iguaço;14/01/2017;452
AB1014;R$ 2,00;Guarulhos;14/01/2017;152
AB1009;R$ 4,00;Porto Alegre;14/01/2017;181
AB1020;R$ 1,00;Guarulhos;14/01/2017;306
AB1012;R$ 3,00;Belo Horizonte;14/01/2017;154
AB1023;R$ 5,00;Nova Iguaço;14/01/2017;51
AB1013;R$ 1,00;Campinas;14/01/2017;262
AB1022;R$ 1,00;Curitiba;14/01/2017;210
AB1006;R$ 3,00;Recife;14/01/2017;376
AB1021;R$ 1,00;Salvador;14/01/2017;15
AB1010;R$ 3,00;Rio de Janeiro;14/01/2017;336
AB1007;R$ 2,00;Recife;14/01/2017;169
AB1013;R$ 1,00;Salvador;14/01/2017;482
AB1017;R$ 5,00;Goiânia;14/01/2017;614
AB1008;R$ 3,00;Campinas;14/01/2017;607
AB1013;R$ 4,00;Rio de Janeiro;14/01/2017;326
AB1017;R$ 5,00;Porto Alegre;14/01/2017;371
AB1015;R$ 3,00;Recife;14/01/2017;500
AB1009;R$ 1,00;Niterói;14/01/2017;273
AB1011;R$ 1,00;Nova Iguaço;14/01/2017;24
AB1002;R$ 3,00;Salvador;14/01/2017;285
AB1018;R$ 1,00;Niterói;14/01/2017;73
AB1020;R$ 2,00;Fortaleza;14/01/2017;366
AB1008;R$ 4,00;Belo Horizonte;14/01/2017;23
AB1009;R$ 3,00;Curitiba;14/01/2017;240
AB1004;R$ 2,00;Recife;14/01/2017;5
AB1024;R$ 5,00;Guarulhos;14/01/2017;465
AB1015;R$ 5,00;Rio de Janeiro;14/01/2017;134
AB1007;R$ 3,00;Recife;15/01/2017;672
AB1008;R$ 1,00;Curitiba;15/01/2017;412
AB1012;R$ 4,00;Nova Iguaço;15/01/2017;283
AB1021;R$ 2,00;Niterói;15/01/2017;473
