COD,Valor Pedido,Cidade,Data da Venda,COD Cliente
AB1012,4.0,Belo Horizonte,2017-01-07,783
AB1024,3.0,Guarulhos,2017-01-07,185
AB1015,2.0,Guarulhos,2017-01-07,98
AB1012,2.0,Nova Iguaço,2017-01-07,568
AB1017,2.0,Nova Iguaço,2017-01-07,543
AB1004,4.0,Guarulhos,2017-01-07,211
AB1002,3.0,Curitiba,2017-01-07,789
AB1006,3.0,São Paulo,2017-01-07,725
AB1005,4.0,Curitiba,2017-01-07,686
AB1009,1.0,Belo Horizonte,2017-01-07,508
AB1004,5.0,Salvador,2017-01-07,285
AB1010,3.0,Nova Iguaço,2017-01-07,278
AB1001,1.0,São Paulo,2017-01-07,382
AB1002,1.0,São Paulo,2017-01-07,235
AB1011,5.0,Curitiba,2017-01-07,619
AB1002,4.0,Recife,2017-01-07,106
AB1005,3.0,Porto Alegre,2017-01-07,760
AB1002,3.0,Campinas,2017-01-07,439
AB1024,4.0,São Paulo,2017-01-07,79
AB1010,2.0,Guarulhos,2017-01-07,184
AB1021,4.0,Belo Horizonte,2017-01-07,418
AB1024,1.0,Goiânia,2017-01-07,296
AB1006,1.0,Recife,2017-01-07,322
AB1006,4.0,Goiânia,2017-01-07,425
AB1020,1.0,Campinas,2017-01-07,2
AB1019,1.0,Porto Alegre,2017-01-07,143
AB1010,2.0,Nova Iguaço,2017-01-07,281
AB1010,4.0,Rio de Janeiro,2017-01-07,377
AB1014,1.0,Rio de Janeiro,2017-01-07,148
AB1011,1.0,Rio de Janeiro,2017-01-08,11
AB1010,4.0,Goiânia,2017-01-08,674
AB1019,1.0,Niterói,2017-01-08,236
AB1012,2.0,Belo Horizonte,2017-01-08,418
AB1007,1.0,Salvador,2017-01-08,437
AB1022,5.0,Fortaleza,2017-01-08,599
AB1004,5.0,Niterói,2017-01-08,688
AB1007,2.0,Goiânia,2017-01-08,225
AB1012,4.0,Fortaleza,2017-01-08,468
AB1003,2.0,Nova Iguaço,2017-01-08,24
AB1021,4.0,Niterói,2017-01-08,473
AB1007,2.0,Recife,2017-01-08,27
AB1014,2.0,São Paulo,2017-01-08,104
AB1021,4.0,Fortaleza,2017-01-08,157
AB1023,5.0,Guarulhos,2017-01-08,206
AB1003,1.0,Belo Horizonte,2017-01-08,542
AB1008,5.0,Curitiba,2017-01-08,803
AB1016,1.0,Goiânia,2017-01-08,147
AB1015,1.0,Belo Horizonte,2017-01-08,742
AB1024,1.0,Guarulhos,2017-01-08,337
AB1010,3.0,Porto Alegre,2017-01-08,592
AB1021,5.0,Goiânia,2017-01-08,8
AB1001,2.0,Campinas,2017-01-08,431
AB1005,1.0,Belo Horizonte,2017-01-08,497
AB1002,1.0,Guarulhos,2017-01-08,399
AB1014,3.0,Salvador,2017-01-08,481
AB1014,1.0,Curitiba,2017-01-08,715
AB1017,1.0,Rio de Janeiro,2017-01-08,325
AB1003,2.0,Rio de Janeiro,2017-01-08,226
AB1002,1.0,Guarulhos,2017-01-08,372
AB1021,2.0,São Paulo,2017-01-08,105
AB1014,5.0,Curitiba,2017-01-08,239
AB1006,4.0,Goiânia,2017-01-08,435
AB1021,2.0,São Paulo,2017-01-08,424
AB1001,5.0,Nova Iguaço,2017-01-08,516
AB1001,3.0,Belo Horizonte,2017-01-08,421
AB1012,2.0,Curitiba,2017-01-08,66
AB1021,2.0,Campinas,2017-01-08,59
AB1023,5.0,Belo Horizonte,2017-01-08,666
AB1017,3.0,Nova Iguaço,2017-01-08,791
AB1006,5.0,Porto Alegre,2017-01-08,371
AB1012,1.0,Rio de Janeiro,2017-01-08,573
AB1015,4.0,Porto Alegre,2017-01-08,371
AB1011,5.0,Niterói,2017-01-08,710
AB1024,3.0,Guarulhos,2017-01-08,348
AB1002,2.0,Nova Iguaço,2017-01-08,575
AB1005,1.0,Fortaleza,2017-01-08,480
AB1020,5.0,Rio de Janeiro,2017-01-09,405
AB1007,4.0,Rio de Janeiro,2017-01-09,28
AB1018,4.0,Niterói,2017-01-09,710
AB1004,3.0,Fortaleza,2017-01-09,802
AB1015,5.0,Porto Alegre,2017-01-09,143
AB1008,3.0,Porto Alegre,2017-01-09,588
AB1021,1.0,Salvador,2017-01-09,100
AB1021,4.0,Porto Alegre,2017-01-09,200
AB1024,1.0,Guarulhos,2017-01-09,256
AB1012,4.0,Guarulhos,2017-01-09,256
AB1004,2.0,Curitiba,2017-01-09,419
AB1008,5.0,Guarulhos,2017-01-09,311
AB1024,4.0,Campinas,2017-01-09,199
AB1013,5.0,Nova Iguaço,2017-01-09,420
AB1010,1.0,Fortaleza,2017-01-09,171
AB1014,4.0,Niterói,2017-01-09,671
AB1020,5.0,São Paulo,2017-01-09,540
AB1013,5.0,Guarulhos,2017-01-09,175
AB1015,4.0,Niterói,2017-01-09,648
AB1018,1.0,Curitiba,2017-01-09,60
AB1024,1.0,Nova Iguaço,2017-01-09,420
AB1017,3.0,Fortaleza,2017-01-09,687
AB1017,4.0,Recife,2017-01-09,376
AB1020,2.0,Fortaleza,2017-01-09,279
AB1004,2.0,Porto Alegre,2017-01-09,353
AB1013,3.0,Curitiba,2017-01-09,493
AB1021,3.0,Rio de Janeiro,2017-01-09,377
AB1004,1.0,Curitiba,2017-01-09,61
AB1017,1.0,Rio de Janeiro,2017-01-09,28
AB1006,2.0,Porto Alegre,2017-01-09,794
AB1008,3.0,São Paulo,2017-01-09,303
AB1020,3.0,Recife,2017-01-09,322
AB1024,4.0,Nova Iguaço,2017-01-09,579
AB1009,1.0,Porto Alegre,2017-01-09,115
AB1019,2.0,Curitiba,2017-01-09,22
AB1023,2.0,Recife,2017-01-09,676
AB1013,3.0,Recife,2017-01-09,234
AB1019,1.0,Curitiba,2017-01-09,758
AB1021,3.0,Guarulhos,2017-01-10,341
AB1008,2.0,Curitiba,2017-01-10,720
AB1021,2.0,Nova Iguaço,2017-01-10,649
AB1003,2.0,Niterói,2017-01-10,276
AB1004,2.0,Belo Horizonte,2017-01-10,313
AB1006,3.0,São Paulo,2017-01-10,145
AB1020,4.0,Campinas,2017-01-10,670
AB1014,3.0,Niterói,2017-01-10,648
AB1023,3.0,Belo Horizonte,2017-01-10,397
AB1016,1.0,Guarulhos,2017-01-10,62
AB1003,4.0,Belo Horizonte,2017-01-10,456
AB1017,1.0,Guarulhos,2017-01-10,334
AB1020,4.0,Guarulhos,2017-01-10,270
AB1011,2.0,Rio de Janeiro,2017-01-10,694
AB1004,5.0,Belo Horizonte,2017-01-10,660
AB1011,3.0,Recife,2017-01-10,321
AB1006,4.0,Porto Alegre,2017-01-10,375
AB1024,1.0,Campinas,2017-01-10,485
AB1006,5.0,Recife,2017-01-10,513
AB1017,4.0,Guarulhos,2017-01-10,364
AB1019,1.0,Guarulhos,2017-01-10,119
AB1002,5.0,Fortaleza,2017-01-10,468
AB1012,1.0,Porto Alegre,2017-01-10,642
AB1006,1.0,Belo Horizonte,2017-01-10,483
AB1004,4.0,Guarulhos,2017-01-10,167
AB1009,1.0,Salvador,2017-01-10,482
AB1019,3.0,Curitiba,2017-01-10,343
AB1018,3.0,Porto Alegre,2017-01-10,353
AB1010,4.0,São Paulo,2017-01-10,79
AB1012,3.0,Fortaleza,2017-01-10,471
AB1011,4.0,Rio de Janeiro,2017-01-10,405
AB1018,3.0,Niterói,2017-01-10,30
AB1003,2.0,Niterói,2017-01-10,434
AB1024,3.0,Rio de Janeiro,2017-01-11,744
AB1006,4.0,Salvador,2017-01-11,559
AB1012,3.0,Fortaleza,2017-01-11,354
AB1014,3.0,São Paulo,2017-01-11,261
AB1007,3.0,Guarulhos,2017-01-11,212
AB1001,4.0,Porto Alegre,2017-01-11,218
AB1020,1.0,Curitiba,2017-01-11,774
AB1015,4.0,Niterói,2017-01-11,514
AB1011,4.0,São Paulo,2017-01-11,406
AB1004,3.0,Belo Horizonte,2017-01-11,506
AB1013,4.0,Niterói,2017-01-11,654
AB1006,3.0,Nova Iguaço,2017-01-11,472
AB1018,5.0,Goiânia,2017-01-11,605
AB1020,3.0,Curitiba,2017-01-11,812
AB1020,2.0,Curitiba,2017-01-11,535
AB1006,4.0,Guarulhos,2017-01-11,577
AB1003,2.0,São Paulo,2017-01-11,69
AB1014,1.0,Recife,2017-01-11,244
AB1021,2.0,Salvador,2017-01-11,646
AB1016,1.0,Nova Iguaço,2017-01-11,681
AB1003,2.0,Niterói,2017-01-11,131
AB1019,5.0,Curitiba,2017-01-11,217
AB1024,2.0,Fortaleza,2017-01-11,468
AB1021,3.0,Campinas,2017-01-11,395
AB1017,1.0,Guarulhos,2017-01-11,47
AB1015,1.0,Rio de Janeiro,2017-01-11,817
AB1023,2.0,Curitiba,2017-01-11,743
AB1020,3.0,Recife,2017-01-11,81
AB1023,1.0,Campinas,2017-01-11,510
AB1012,5.0,Curitiba,2017-01-11,240
AB1005,4.0,Porto Alegre,2017-01-11,588
AB1001,4.0,Fortaleza,2017-01-11,163
AB1005,3.0,Nova Iguaço,2017-01-11,647
AB1020,1.0,Recife,2017-01-12,616
AB1011,5.0,Recife,2017-01-12,117
AB1003,1.0,Niterói,2017-01-12,807
AB1004,1.0,Guarulhos,2017-01-12,48
AB1022,1.0,Porto Alegre,2017-01-12,132
AB1024,2.0,Recife,2017-01-12,566
AB1019,4.0,Campinas,2017-01-12,332
AB1018,1.0,Guarulhos,2017-01-12,56
AB1022,4.0,São Paulo,2017-01-12,314
AB1007,4.0,Guarulhos,2017-01-12,369
AB1003,5.0,Rio de Janeiro,2017-01-12,405
AB1017,5.0,Fortaleza,2017-01-12,796
AB1024,4.0,Rio de Janeiro,2017-01-12,213
AB1002,3.0,Goiânia,2017-01-12,274
AB1002,5.0,Recife,2017-01-12,297
AB1006,5.0,Niterói,2017-01-12,71
AB1015,3.0,Fortaleza,2017-01-12,580
AB1012,5.0,Curitiba,2017-01-12,789
AB1007,5.0,Curitiba,2017-01-12,758
AB1021,2.0,Recife,2017-01-12,244
AB1023,5.0,Fortaleza,2017-01-12,557
AB1018,2.0,Campinas,2017-01-12,485
AB1023,1.0,Belo Horizonte,2017-01-12,520
AB1002,3.0,Porto Alegre,2017-01-12,200
AB1010,3.0,Nova Iguaço,2017-01-12,477
AB1014,1.0,São Paulo,2017-01-12,737
AB1011,4.0,Guarulhos,2017-01-12,306
AB1008,5.0,Campinas,2017-01-12,45
AB1022,4.0,Guarulhos,2017-01-12,337
AB1019,1.0,Niterói,2017-01-13,454
AB1021,1.0,Fortaleza,2017-01-13,255
AB1013,3.0,Curitiba,2017-01-13,493
AB1005,3.0,Porto Alegre,2017-01-13,328
AB1008,2.0,Curitiba,2017-01-13,812
AB1014,1.0,Curitiba,2017-01-13,720
AB1017,2.0,Goiânia,2017-01-13,562
AB1016,4.0,Curitiba,2017-01-13,63
AB1005,3.0,São Paulo,2017-01-13,446
AB1003,3.0,Rio de Janeiro,2017-01-13,99
AB1019,5.0,Campinas,2017-01-13,670
AB1004,2.0,Nova Iguaço,2017-01-13,806
AB1006,4.0,Belo Horizonte,2017-01-13,295
AB1001,4.0,Guarulhos,2017-01-13,290
AB1022,2.0,Belo Horizonte,2017-01-13,359
AB1017,1.0,Recife,2017-01-13,106
AB1015,4.0,Rio de Janeiro,2017-01-13,531
AB1017,4.0,Belo Horizonte,2017-01-13,190
AB1003,3.0,Guarulhos,2017-01-13,392
AB1024,1.0,Salvador,2017-01-13,15
AB1015,5.0,Fortaleza,2017-01-13,703
AB1007,2.0,Porto Alegre,2017-01-13,436
AB1004,1.0,Niterói,2017-01-13,708
AB1009,3.0,Belo Horizonte,2017-01-13,590
AB1024,1.0,Niterói,2017-01-13,807
AB1007,2.0,Nova Iguaço,2017-01-13,516
AB1012,5.0,Rio de Janeiro,2017-01-13,11
AB1007,5.0,Fortaleza,2017-01-13,687
AB1022,2.0,Belo Horizonte,2017-01-13,58
AB1014,4.0,Guarulhos,2017-01-13,567
AB1005,2.0,Porto Alegre,2017-01-13,428
AB1003,1.0,Nova Iguaço,2017-01-13,701
AB1004,5.0,São Paulo,2017-01-13,235
AB1018,5.0,Nova Iguaço,2017-01-13,689
AB1015,5.0,São Paulo,2017-01-14,140
AB1023,3.0,Guarulhos,2017-01-14,152
AB1011,4.0,Rio de Janeiro,2017-01-14,134
AB1015,5.0,Nova Iguaço,2017-01-14,452
AB1014,2.0,Guarulhos,2017-01-14,152
AB1009,4.0,Porto Alegre,2017-01-14,181
AB1020,1.0,Guarulhos,2017-01-14,306
AB1012,3.0,Belo Horizonte,2017-01-14,154
AB1023,5.0,Nova Iguaço,2017-01-14,51
AB1013,1.0,Campinas,2017-01-14,262
AB1022,1.0,Curitiba,2017-01-14,210
AB1006,3.0,Recife,2017-01-14,376
AB1021,1.0,Salvador,2017-01-14,15
AB1010,3.0,Rio de Janeiro,2017-01-14,336
AB1007,2.0,Recife,2017-01-14,169
AB1013,1.0,Salvador,2017-01-14,482
AB1017,5.0,Goiânia,2017-01-14,614
AB1008,3.0,Campinas,2017-01-14,607
AB1013,4.0,Rio de Janeiro,2017-01-14,326
AB1017,5.0,Porto Alegre,2017-01-14,371
AB1015,3.0,Recife,2017-01-14,500
AB1009,1.0,Niterói,2017-01-14,273
AB1011,1.0,Nova Iguaço,2017-01-14,24
AB1002,3.0,Salvador,2017-01-14,285
AB1018,1.0,Niterói,2017-01-14,73
AB1020,2.0,Fortaleza,2017-01-14,366
AB1008,4.0,Belo Horizonte,2017-01-14,23
AB1009,3.0,Curitiba,2017-01-14,240
AB1004,2.0,Recife,2017-01-14,5
AB1024,5.0,Guarulhos,2017-01-14,465
AB1015,5.0,Rio de Janeiro,2017-01-14,134
AB1007,3.0,Recife,2017-01-15,672
AB1008,1.0,Curitiba,2017-01-15,412
AB1012,4.0,Nova Iguaço,2017-01-15,283
AB1021,2.0,Niterói,2017-01-15,473
AB1008,4.0,Porto Alegre,2017-01-15,361
AB1008,5.0,Belo Horizonte,2017-01-15,550
AB1009,5.0,Recife,2017-01-15,555
AB1006,1.0,Guarulhos,2017-01-15,577
AB1022,4.0,Guarulhos,2017-01-15,75
AB1008,3.0,Guarulhos,2017-01-15,152
AB1018,1.0,Niterói,2017-01-15,807
AB1003,3.0,Fortaleza,2017-01-15,557
AB1003,4.0,São Paulo,2017-01-15,748
AB1019,5.0,Guarulhos,2017-01-15,629
AB1024,1.0,Nova Iguaço,2017-01-15,283
AB1017,5.0,Guarulhos,2017-01-15,137
AB1015,1.0,Salvador,2017-01-15,247
AB1012,1.0,Nova Iguaço,2017-01-15,355
AB1006,3.0,Fortaleza,2017-01-15,183
AB1005,1.0,Guarulhos,2017-01-15,241
AB1016,3.0,Recife,2017-01-15,566
AB1004,5.0,Porto Alegre,2017-01-15,592
AB1021,3.0,Nova Iguaço,2017-01-15,691
AB1016,2.0,São Paulo,2017-01-15,737
AB1005,4.0,São Paulo,2017-01-15,429
AB1009,5.0,Guarulhos,2017-01-15,501
AB1022,3.0,Curitiba,2017-01-15,63
AB1016,4.0,Salvador,2017-01-15,544
AB1020,5.0,Guarulhos,2017-01-15,153
AB1016,5.0,Nova Iguaço,2017-01-15,782
AB1004,4.0,Belo Horizonte,2017-01-15,385
AB1008,1.0,Salvador,2017-01-15,97
AB1016,3.0,Porto Alegre,2017-01-15,378
AB1005,3.0,Guarulhos,2017-01-15,233
AB1009,4.0,Guarulhos,2017-01-15,339
AB1006,3.0,Rio de Janeiro,2017-01-15,248
AB1014,5.0,Campinas,2017-01-16,739
AB1021,4.0,Salvador,2017-01-16,583
AB1015,5.0,Recife,2017-01-16,39
AB1003,5.0,Recife,2017-01-16,117
AB1019,4.0,Guarulhos,2017-01-16,127
AB1016,5.0,Guarulhos,2017-01-16,417
AB1022,5.0,Salvador,2017-01-16,232
AB1017,3.0,Porto Alegre,2017-01-16,230
AB1024,3.0,Salvador,2017-01-16,800
AB1001,5.0,Nova Iguaço,2017-01-16,782
AB1018,3.0,Curitiba,2017-01-16,238
AB1007,1.0,Nova Iguaço,2017-01-16,330
AB1002,5.0,Niterói,2017-01-16,763
AB1020,1.0,Campinas,2017-01-16,289
AB1021,3.0,Recife,2017-01-16,555
AB1012,4.0,Guarulhos,2017-01-16,207
AB1005,1.0,Salvador,2017-01-16,198
AB1014,3.0,Niterói,2017-01-16,94
AB1008,3.0,Curitiba,2017-01-16,789
AB1009,1.0,Campinas,2017-01-16,793
AB1014,2.0,Belo Horizonte,2017-01-16,721
AB1003,5.0,Curitiba,2017-01-16,637
AB1021,5.0,Guarulhos,2017-01-16,344
AB1005,4.0,Recife,2017-01-16,805
AB1014,5.0,Fortaleza,2017-01-16,286
AB1006,5.0,Recife,2017-01-16,297
AB1006,4.0,Rio de Janeiro,2017-01-16,326
AB1018,4.0,Recife,2017-01-16,676
AB1019,5.0,São Paulo,2017-01-16,382
AB1014,2.0,Campinas,2017-01-16,138
AB1015,5.0,Fortaleza,2017-01-16,354
AB1018,1.0,Porto Alegre,2017-01-16,515
AB1007,1.0,Salvador,2017-01-16,646
AB1017,4.0,São Paulo,2017-01-16,753
AB1010,4.0,Guarulhos,2017-01-16,175
AB1004,5.0,Niterói,2017-01-16,454
AB1009,2.0,Nova Iguaço,2017-01-16,24
AB1018,1.0,Salvador,2017-01-16,109
AB1012,4.0,Nova Iguaço,2017-01-16,51
AB1003,2.0,Curitiba,2017-01-17,619
AB1012,5.0,Goiânia,2017-01-17,527
AB1008,1.0,Curitiba,2017-01-17,560
AB1008,1.0,Rio de Janeiro,2017-01-17,377
AB1003,4.0,Curitiba,2017-01-17,238
AB1017,5.0,Fortaleza,2017-01-17,288
AB1018,5.0,Guarulhos,2017-01-17,37
